brand,name,type,afterUse,product_t,notable_e,skintype,Sensitive,Combination,Oily,Dry,Normal
The Ordinary,Glycolic Acid 7% Toning Solution,Toner,"Good For Oily Skin,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Brightening,Drying,Acne Trigger,Irritating,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
La Roche-Posay,Toleriane Hydrating Gentle Face Cleanser,Face Cleanser,"Good For Oily Skin,Redness Reducing,Reduces Irritation,Anti-Aging,Acne Fighting,Brightening,Drying,Acne Trigger",,,"Normal, Dry, Combination",0.0,1.0,0.0,1.0,1.0
The Ordinary,Niacinamide 10% + Zinc 1% ,Facial Treatment,"Good For Oily Skin,Redness Reducing,Acne Fighting,Brightening,Irritating",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Youth To The People,Superfood Antioxidant Cleanser,Face Cleanser,"Redness Reducing,Reduces Irritation,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Brightening,Drying,Acne Trigger,Irritating",,,Oily,0.0,0.0,1.0,0.0,0.0
COSRX,Low pH Good Morning Gel Cleanser,Face Cleanser,"Good For Oily Skin,Reduces Irritation,Reduces Large Pores,Drying,Acne Trigger,Irritating",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
La Roche-Posay,Toleriane Purifying Foaming Face Cleanser,Face Cleanser,"Good For Oily Skin,Redness Reducing,Anti-Aging,Acne Fighting,Brightening,Drying,Acne Trigger",,,"Normal, Dry, Oily, Combination",0.0,1.0,1.0,1.0,1.0
The Ordinary,Azelaic Acid Suspension 10%,Serum,"Redness Reducing,Anti-Aging,Dark Spots,Scar Healing,Brightening,Irritating",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
COSRX,Advanced Snail 92 All In One Cream,General Moisturizer,"Redness Reducing,Reduces Irritation,May Worsen Oily Skin,Acne Trigger",,,"Normal, Dry, Combination",0.0,1.0,0.0,1.0,1.0
The Ordinary,Natural Moisturizing Factors + HA,General Moisturizer,"Hydrating,Reduces Large Pores,Anti-Aging,Scar Healing,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
Beauty of Joseon,Relief Sun : Rice + Probiotics,Sunscreen,"Good For Oily Skin,Redness Reducing,Acne Fighting,Brightening",,,Oily,0.0,0.0,1.0,0.0,0.0
Paula's Choice,Skin Perfecting 2% BHA Liquid Exfoliant,Exfoliator,"Good For Oily Skin,Reduces Large Pores,Acne Fighting,Brightening,Drying,Irritating,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
CeraVe,Renewing SA Cleanser,Face Cleanser,"Good For Oily Skin,Redness Reducing,Reduces Large Pores,Anti-Aging,Acne Fighting,Brightening,Drying,Acne Trigger,Irritating,Eczema",,,"Dry, Oily, Sensitive",1.0,0.0,1.0,1.0,0.0
CeraVe,Moisturizing Cream,General Moisturizer,"Redness Reducing,Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating",,,"Normal, Combination",0.0,1.0,0.0,0.0,1.0
CeraVe,Daily Moisturizing Lotion,General Moisturizer,"Redness Reducing,Anti-Aging,Acne Trigger",,,Oily,0.0,0.0,1.0,0.0,0.0
The Ordinary,Hyaluronic Acid 2% + B5,Facial Treatment,"Reduces Irritation,Reduces Large Pores,Drying,Irritating",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
CeraVe,Foaming Facial Cleanser,Face Cleanser,"Good For Oily Skin,Redness Reducing,Reduces Large Pores,Anti-Aging,Acne Fighting,Brightening,Drying,Acne Trigger,Irritating",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
A'Pieu,Pure Block Natural Waterproof Sun Cream SPF50+ PA+++,Sunscreen,"Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,"Dry, Sensitive",1.0,0.0,0.0,1.0,0.0
Anna Sui,Liquid Foundation,Face Makeup,"Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Burt's Bees,BB Cream with SPF 15,Face Makeup,"Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Soap & Glory,Heel Genius Moisturizing Foot Cream,Bath & Body,"Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea",,,Sensitive,1.0,0.0,0.0,0.0,0.0
"Person & Covey, Inc.",Solbar Avo SPF 35,Sunscreen,"May Worsen Oily Skin,Irritating,Rosacea,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Lancôme,Bi-Facil Double-Action Eye Makeup Remover,Makeup Remover,"Drying,Acne Trigger,Eczema",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
Nivea,Daily Essentials Mattifying Day Cream,Day Moisturizer,"Drying,Acne Trigger,Irritating,Rosacea",,,"Normal, Dry, Combination",0.0,1.0,0.0,1.0,1.0
Kose Cosmeport,Sekkisei Clear Wellness UV Sunscreen Essence Gel SPF 50+ PA++++,Sunscreen,"Acne Trigger,Irritating",,,"Normal, Dry, Combination",0.0,1.0,0.0,1.0,1.0
VZK,Sun Protection Cream SPF 50+ Anti-Age,Sunscreen,"Acne Trigger,Irritating,Rosacea,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
Bed Head by TIGI,Some Like It Hot Heat Protection Spray for Heat Styling,Other Haircare,"Reduces Large Pores,Anti-Aging,Drying,Irritating,Rosacea,Eczema",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
Gehwol,Warming Balm,Bath & Body,"Hydrating,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
